	question	class
0	co je dusevni vlastnictvi	0
1	co znamena dusevni vlastnictvi	0
2	dusevni vlastnictvi je	0
3	definice dusevniho vlastnictvi	0
4	jak definovat dusevni vlastnictvi	0
5	co predstavuje dusevni vlastnictvi	0
6	ochrana predmetu technickeho charakteru	1
7	ochrana predmetu technickeho typu	1
8	ochrana technickych reseni	1
9	jak chranit technicke reseni	1
10	zpusob ochrany predmetu technickeho charakteru	1
11	zpusob ochrany predmetu technickeho typu	1
12	zpusob ochrany technickych reseni	1
13	zpusob ochrany technickeho reseni	1
14	jak zajistit technicke reseni	1
15	jak zajistit technicka reseni	1
16	moznosti ochrany predmetu technickeho charakteru	1
17	moznosti ochrany predmetu technickeho typu	1
18	moznosti ochrany technickeho reseni	1
19	moznosti ochrany technickych reseni	1
20	pomoc s registraci vynalezu	2
21	pomoc s prihlaskou vynalezu	2
22	pomoc s registraci  patentu	2
23	pomoc s prihlaskou patentu	2
24	pomoc s registraci  uzitneho vzoru	2
25	pomoc s prihlaskou uzitneho vzoru	2
26	pomoc s registraci  prumysloveho vzoru	2
27	pomoc s prihlaskou prumysloveho vzoru	2
28	pomoc s registraci  ochranne znamky	2
29	pomoc s prihlaskou ochranne znamky	2
30	pomoc s registraci  prumysloveho designu	2
31	pomoc s prihlaskou prumysloveho designu	2
32	pomoc s registraci  ochranneho oznaceni	2
33	pomoc s prihlaskou ochranneho oznaceni	2
34	kdo pomuze s prihlaskou vynalezu	2
35	kdo pomuze s prihlasovanim vynalezu	2
36	kdo pomuze s prihlaskou  patentu	2
37	kdo pomuze s prihlasovanim patentu	2
38	kdo pomuze s prihlaskou  uzitneho vzoru	2
39	kdo pomuze s prihlasovanim uzitneho vzoru	2
40	kdo pomuze s prihlaskou  prumysloveho vzoru	2
41	kdo pomuze s prihlasovanim prumysloveho vzoru	2
42	kdo pomuze s prihlaskou  ochranne znamky	2
43	kdo pomuze s prihlasovanim ochranne znamky	2
44	kdo pomuze s prihlaskou  prumysloveho designu	2
45	kdo pomuze s prihlasovanim prumysloveho designu	2
46	kdo pomuze s prihlaskou  ochranneho oznaceni	2
47	kdo pomuze s prihlasovanim ochranneho oznaceni	2
48	kdo poskytne pomoc s registraci vynalezu	2
49	kdo poskytne pomoc s prihlaskou vynalezu	2
50	kdo poskytne pomoc s registraci  patentu	2
51	kdo poskytne pomoc s prihlaskou patentu	2
52	kdo poskytne pomoc s registraci  uzitneho vzoru	2
53	kdo poskytne pomoc s prihlaskou uzitneho vzoru	2
54	kdo poskytne pomoc s registraci  prumysloveho vzoru	2
55	kdo poskytne pomoc s prihlaskou prumysloveho vzoru	2
56	kdo poskytne pomoc s registraci  ochranne znamky	2
57	kdo poskytne pomoc s prihlaskou ochranne znamky	2
58	kdo poskytne pomoc s registraci  prumysloveho designu	2
59	kdo poskytne pomoc s prihlaskou prumysloveho designu	2
60	kdo poskytne pomoc s registraci  ochranneho oznaceni	2
61	kdo poskytne pomoc s prihlaskou ochranneho oznaceni	2
62	pomuzete mi s registraci vynalezu	2
63	pomuzete mi s prihlaskou vynalezu	2
64	pomuzete mi s registraci  patentu	2
65	pomuzete mi s prihlaskou patentu	2
66	pomuzete mi s registraci  uzitneho vzoru	2
67	pomuzete mi s prihlaskou uzitneho vzoru	2
68	pomuzete mi s registraci  prumysloveho vzoru	2
69	pomuzete mi s prihlaskou prumysloveho vzoru	2
70	pomuzete mi s registraci  ochranne znamky	2
71	pomuzete mi s prihlaskou ochranne znamky	2
72	pomuzete mi s registraci  prumysloveho designu	2
73	pomuzete mi s prihlaskou prumysloveho designu	2
74	pomuzete mi s registraci  ochranneho oznaceni	2
75	pomuzete mi s prihlaskou ochranneho oznaceni	2
76	na koho se muzu obratit s registraci vynalezu	2
77	na koho se muzu obratit s prihlaskou vynalezu	2
78	na koho se muzu obratit s registraci  patentu	2
79	na koho se muzu obratit s prihlaskou patentu	2
80	na koho se muzu obratit s registraci  uzitneho vzoru	2
81	na koho se muzu obratit s prihlaskou uzitneho vzoru	2
82	na koho se muzu obratit s registraci  prumysloveho vzoru	2
83	na koho se muzu obratit s prihlaskou prumysloveho vzoru	2
84	na koho se muzu obratit s registraci  ochranne znamky	2
85	na koho se muzu obratit s prihlaskou ochranne znamky	2
86	na koho se muzu obratit s registraci  prumysloveho designu	2
87	na koho se muzu obratit s prihlaskou prumysloveho designu	2
88	na koho se muzu obratit s registraci  ochranneho oznaceni	2
89	na koho se muzu obratit s prihlaskou ochranneho oznaceni	2
90	na koho se obratit s registraci vynalezu	2
91	na koho se obratit s prihlaskou vynalezu	2
92	na koho se obratit s registraci  patentu	2
93	na koho se obratit s prihlaskou patentu	2
94	na koho se obratit s registraci  uzitneho vzoru	2
95	na koho se obratit s prihlaskou uzitneho vzoru	2
96	na koho se obratit s registraci  prumysloveho vzoru	2
97	na koho se obratit s prihlaskou prumysloveho vzoru	2
98	na koho se obratit s registraci  ochranne znamky	2
99	na koho se obratit s prihlaskou ochranne znamky	2
100	na koho se obratit s registraci  prumysloveho designu	2
101	na koho se obratit s prihlaskou prumysloveho designu	2
102	na koho se obratit s registraci  ochranneho oznaceni	2
103	na koho se obratit s prihlaskou ochranneho oznaceni	2
104	vymahani prav z prumysloveho vlastnictvi	3
105	vymahani prav	3
106	jak vymahat prava	3
107	jak vymahat pravo	3
108	co je to vymahani prava z prumysloveho vlastnictvi	3
109	co znamena vymahani prava z prumysloveho vlastnictvi	3
110	jak vymahat prava z prumysloveho vlastnictvi	3
111	co delat v pripade poruseni prav prumysloveho vlastnictvi	3
112	co delat v pripade poruseni prav	3
113	spory	4
114	spor	4
115	prosazovani prav	4
116	prosazovani prav z prumysloveho vlastnictvi	4
117	pomoc ve sporu	4
118	pomoc ve sporech	4
119	co delat ve sporu	4
120	pomuzes mi s prosazovanim prav	4
121	pomuzete mi s prosazovanim prav	4
122	jak postupovat pri sporu	4
123	jak postupovat pri sporech	4
124	poskytujete pomoc pri prosazovani prav	4
125	poskytujete pomoc pri prosazovani prav z prumysloveho vlastnictvi	4
126	poskytujete pomoc pri ve sporech	4
127	poskytujete pomoc pri ve sporu	4
128	jak probiha prosazovani prav z prumysloveho vlastnictvi	4
129	jak probiha prosazovani prav	4
130	pomahate se zajistenim prav	4
131	pomahate se prosazovanim prav	4
132	pomahate se zajistenim prav z prumysloveho vlastnictvi	4
133	pomahate se prosazovanim prav z prumysloveho vlastnictvi	4
134	muze urad pomoci s prosazovanim prav	4
135	muze upv pomoci s prosazovanim prav	4
136	muze urad pomoci ve sporech	4
137	muze upv pomoci ve sporech	4
138	muze urad pomoci ve sporu	4
139	muze upv pomoci ve sporu	4
140	pomuze urad ve sporech	4
141	pomuze upv ve sporech	4
142	pomuze vy ve sporech	4
143	muzu se na vas obratit v prosazovani svych prav	4
144	jak mi pomuzete s prosazovanim prav	4
145	pomuzete mi ve sporu	4
146	chci vedet jeslti mi pomuzete pri prosazovani prav	4
147	chci vedet jeslti mi pomuzete pri ve sporu	4
148	jak se muzu branit ve sporu	4
149	jak se muzu branit v prosazovani prav	4
150	porusovani prav z dusevniho vlastnictvi	5
151	poruseni prav z dusevniho vlastnictvi	5
152	kam se obratit v pripade poruseni prav z dusevniho vlastnictvi	5
153	na koho se obratit v pripade poruseni prav z dusevniho vlastnictvi	5
154	kde hledat pomoc pri poruseni prav dusevniho vlastnictvi	5
155	kde hledat pomoc v pripade poruseni prav dusevniho vlastnictvi	5
156	jak vymahat prava z dusevniho vlastnictvi	5
157	na koho se obratit s vymahanim prav z dusevniho vlastnictvi	5
158	kdo mi pomuze s vymahanim prav z dusevniho vlastnictvi	5
159	kdo mi pomuze pri poruseni prav z dusevniho vlastnictvi	5
160	jak chranit prava dusevniho vlastnictvi	5
161	lhuta pro podani namitek	6
162	lhuta pro podani namitek proti zapisu	6
163	lhuta pro podani namitek proti zapisu prihlasovaneho oznaceni do rejstriku ochrannych znamek	6
164	jaka je lhuta pro podani namitek	6
165	zapis prihlasovaneho oznaceni	6
166	zapis prihlasovaneho oznaceni do rejstriku ochrannych znamek	6
167	lze prodlouzit lhutu pro podani namitek	6
168	do kdy muzu podat namitku proti zapisu	6
169	namitky	7
170	namitka	7
171	namitkove rizeni	7
172	kdo muze podat namitky	7
173	kdo muze podat namitku	7
174	kdo ma pravo vznest namitku	7
175	kdo ma pravo vznest namitky	7
176	muzu podat namitku proti zapisu do rejstriku	7
177	jak probiha namitkove rizeni	7
178	muzu podat namitku proti zapisu	7
179	rozsireni namitky	8
180	nove dukazy pri namitce	8
181	muzu namitku doplnit novymi dukazy	8
182	muzu namitky doplnit novymi dukazy	8
183	muzu namitku doplnit dokumentaci	8
184	muzu namitky doplnit dokumentaci	8
185	muzu namitku doplnit oduvodnenim	8
186	muzu namitky doplnit oduvodnenim	8
187	lze namitku doplnit novymi dukazy	8
188	lze namitky doplnit novymi dukazy	8
189	lze namitku doplnit dokumentaci	8
190	lze namitky doplnit dokumentaci	8
191	lze namitku rozsirit	8
